frame,x1,y1,x2,y2
361,713.0,396.0,1580.0,413.0
362,693.0,398.0,1585.0,413.0
363,675.0,398.0,1589.0,413.0
364,660.0,399.0,1593.0,412.0
365,645.0,401.0,1595.0,411.0
366,623.0,402.0,1597.0,411.0
367,601.0,403.0,1598.0,410.0
368,579.0,404.0,1600.0,411.0
369,558.0,405.0,1603.0,410.0
370,541.0,405.0,1606.0,410.0
371,529.0,406.0,1610.0,409.0
372,524.0,406.0,1619.0,408.0
373,513.0,407.0,1626.0,408.0
374,502.0,407.0,1636.0,408.0
375,489.0,408.0,1643.0,407.0
376,472.0,408.0,1647.0,406.0
377,455.0,409.0,1650.0,406.0
378,441.0,410.0,1653.0,406.0
379,428.0,411.0,1657.0,405.0
380,418.0,411.0,1658.0,405.0
381,416.0,411.0,1659.0,405.0
382,415.0,411.0,1661.0,406.0
383,415.0,411.0,1661.0,405.0
384,414.0,411.0,1662.0,405.0
385,414.0,411.0,1665.0,402.0
386,414.0,409.0,1666.0,396.0
387,414.0,406.0,1663.0,391.0
388,415.0,404.0,1663.0,385.0
389,415.0,404.0,1663.0,383.0
390,415.0,403.0,1664.0,389.0
391,415.0,404.0,1664.0,390.0
392,414.0,403.0,1666.0,391.0
393,414.0,405.0,1665.0,391.0
394,415.0,410.0,1665.0,392.0
395,415.0,409.0,1664.0,393.0
396,415.0,406.0,1735.0,396.0
397,416.0,414.0,1735.0,388.0
398,418.0,419.0,1675.0,391.0
399,417.0,402.0,1735.0,390.0
400,415.0,402.0,1736.0,392.0
401,415.0,402.0,1736.0,391.0
402,413.0,402.0,1736.0,391.0
403,411.0,401.0,1736.0,392.0
404,411.0,401.0,1736.0,392.0
405,412.0,402.0,1737.0,392.0
406,413.0,402.0,1736.0,392.0
407,412.0,402.0,1736.0,393.0
408,413.0,402.0,1736.0,392.0
409,413.0,402.0,1736.0,392.0
410,415.0,402.0,1736.0,393.0
411,416.0,402.0,1736.0,393.0
412,416.0,401.0,1736.0,392.0
413,416.0,399.0,1735.0,391.0
414,415.0,398.0,1735.0,391.0
415,415.0,397.0,1735.0,390.0
416,415.0,398.0,1735.0,392.0
417,415.0,398.0,1735.0,391.0
418,414.0,398.0,1735.0,392.0
419,414.0,398.0,1735.0,393.0
420,414.0,398.0,1735.0,392.0
421,414.0,398.0,1735.0,392.0
422,414.0,398.0,1735.0,392.0
423,414.0,398.0,1735.0,392.0
424,414.0,398.0,1735.0,392.0
425,414.0,398.0,1735.0,392.0
426,414.0,398.0,1735.0,392.0
427,413.0,398.0,1735.0,392.0
428,413.0,397.0,1735.0,392.0
429,412.0,397.0,1735.0,392.0
430,412.0,397.0,1735.0,392.0
431,412.0,398.0,1735.0,392.0
432,412.0,398.0,1735.0,393.0
433,412.0,398.0,1735.0,393.0
434,412.0,398.0,1735.0,393.0
435,412.0,398.0,1736.0,393.0
436,412.0,398.0,1736.0,393.0
437,412.0,398.0,1736.0,390.0
438,412.0,398.0,1736.0,387.0
439,412.0,398.0,1676.0,391.0
440,412.0,398.0,1674.0,390.0
441,412.0,398.0,1674.0,391.0
442,411.0,398.0,1673.0,391.0
443,411.0,398.0,1673.0,391.0
444,412.0,398.0,1675.0,390.0
445,412.0,398.0,1675.0,390.0
446,412.0,398.0,1717.0,390.0
447,411.0,398.0,1735.0,383.0
448,412.0,398.0,1737.0,379.0
449,412.0,398.0,1738.0,385.0
450,412.0,398.0,1721.0,390.0
451,412.0,398.0,1721.0,391.0
452,413.0,397.0,1719.0,391.0
453,416.0,397.0,1715.0,390.0
454,423.0,396.0,1707.0,390.0
455,431.0,395.0,1698.0,389.0
456,442.0,394.0,1688.0,389.0
457,454.0,393.0,1678.0,388.0
458,469.0,391.0,1664.0,388.0
459,483.0,389.0,1649.0,387.0
460,496.0,389.0,1634.0,385.0
461,510.0,390.0,1618.0,386.0
462,519.0,391.0,1602.0,385.0
463,527.0,391.0,1580.0,383.0
464,535.0,390.0,1556.0,382.0
465,543.0,390.0,1559.0,383.0
466,550.0,389.0,1566.0,383.0
467,556.0,390.0,1568.0,381.0
468,558.0,389.0,1588.0,381.0
469,558.0,391.0,1608.0,381.0
470,558.0,390.0,1614.0,381.0
471,558.0,390.0,1616.0,381.0
472,558.0,390.0,1620.0,381.0
473,558.0,390.0,1618.0,381.0
474,559.0,390.0,1617.0,382.0
475,558.0,390.0,1618.0,382.0
476,559.0,390.0,1614.0,381.0
477,559.0,390.0,1615.0,380.0
478,559.0,391.0,1615.0,383.0
479,559.0,391.0,1614.0,393.0
480,559.0,391.0,1613.0,398.0
481,560.0,390.0,1613.0,400.0
482,560.0,390.0,1588.0,393.0
483,560.0,390.0,1624.0,347.0
484,560.0,390.0,1642.0,296.0
485,559.0,390.0,1727.0,211.0
486,559.0,390.0,1802.0,134.0
487,558.0,390.0,1811.0,93.0
488,559.0,389.0,,
489,558.0,389.0,,
490,559.0,390.0,,
491,560.0,391.0,,
492,565.0,392.0,,
493,568.0,392.0,,
494,566.0,393.0,,
495,567.0,395.0,,
496,567.0,397.0,,
497,567.0,401.0,,
498,567.0,401.0,,
499,568.0,402.0,,
500,589.0,407.0,,
501,617.0,422.0,,
502,647.0,428.0,,
503,674.0,429.0,,
504,687.0,430.0,,
505,680.0,432.0,,
506,657.0,431.0,,
507,634.0,426.0,,
508,636.0,423.0,,
509,666.0,426.0,,
510,685.0,432.0,,
511,678.0,434.0,,
512,655.0,432.0,,
513,640.0,430.0,,
514,641.0,429.0,,
515,639.0,425.0,,
516,639.0,405.0,,
517,637.0,361.0,,
518,623.0,315.0,,
519,585.0,266.0,,
520,521.0,229.0,,
521,429.0,196.0,,
522,305.0,161.0,,
523,185.0,163.0,,
524,120.0,193.0,,
525,34.0,289.0,,
526,,,,
527,,,,
528,,,,
529,,,,
530,,,,
531,,,,
532,,,,
533,,,,
534,,,,
535,,,,
536,,,,
537,,,,
538,,,,
539,,,,
540,,,,
541,,,,
542,,,,
543,,,,
544,,,,
545,,,,
546,,,,
547,,,,
548,,,,
549,,,,
550,,,,
551,,,,
552,,,,
553,,,,
554,,,,
555,,,,
556,,,,
557,,,,
558,,,,
559,,,,
560,,,,
561,,,,
562,,,,
563,,,,
564,,,,
565,,,,
566,,,,
567,,,,
568,,,,
569,,,,
570,,,,
571,,,,
572,,,,
573,,,,
574,,,,
575,,,,
576,,,,
577,,,,
578,,,,
579,,,,
580,,,,
581,,,,
582,,,,
583,,,,
584,,,,
585,,,,
586,,,,
587,,,,
588,,,,
589,,,,
590,,,,
591,,,,
592,,,,
593,,,,
594,,,,
595,,,,
596,,,,
597,,,,
598,,,,
599,,,,
600,,,,
601,,,,
602,,,,
