frame,x1,y1,x2,y2
160,620.0,570.0,1415.0,563.0
161,602.0,569.0,1432.0,554.0
162,594.0,567.0,1455.0,544.0
163,590.0,566.0,1485.0,542.0
164,588.0,565.0,1511.0,541.0
165,585.0,564.0,1531.0,541.0
166,582.0,562.0,1550.0,542.0
167,582.0,560.0,1566.0,544.0
168,579.0,557.0,1572.0,543.0
169,571.0,555.0,1571.0,543.0
170,561.0,552.0,1571.0,543.0
171,549.0,548.0,1572.0,547.0
172,536.0,545.0,1609.0,549.0
173,527.0,545.0,1613.0,548.0
174,534.0,553.0,1613.0,549.0
175,538.0,560.0,1613.0,549.0
176,535.0,563.0,1613.0,550.0
177,534.0,565.0,1613.0,550.0
178,534.0,568.0,1613.0,550.0
179,482.0,443.0,1612.0,550.0
180,475.0,443.0,1612.0,550.0
181,466.0,443.0,1612.0,550.0
182,455.0,444.0,1612.0,550.0
183,446.0,446.0,1612.0,550.0
184,442.0,445.0,1611.0,550.0
185,439.0,444.0,1611.0,550.0
186,459.0,554.0,1612.0,550.0
187,453.0,539.0,1612.0,550.0
188,467.0,529.0,1612.0,550.0
189,477.0,526.0,1612.0,550.0
190,481.0,507.0,1612.0,550.0
191,482.0,508.0,1612.0,550.0
192,482.0,509.0,1612.0,550.0
193,481.0,510.0,1612.0,550.0
194,482.0,510.0,1612.0,550.0
195,482.0,511.0,1611.0,550.0
196,482.0,511.0,1611.0,550.0
197,482.0,511.0,1611.0,550.0
198,482.0,514.0,1611.0,550.0
199,482.0,513.0,1611.0,550.0
200,488.0,551.0,1612.0,550.0
201,488.0,518.0,1612.0,550.0
202,486.0,512.0,1612.0,550.0
203,485.0,512.0,1613.0,550.0
204,485.0,512.0,1613.0,550.0
205,485.0,512.0,1613.0,550.0
206,485.0,512.0,1613.0,550.0
207,485.0,512.0,1613.0,550.0
208,485.0,512.0,1613.0,550.0
209,484.0,512.0,1613.0,549.0
210,484.0,512.0,1613.0,549.0
211,484.0,512.0,1613.0,549.0
212,483.0,512.0,1613.0,549.0
213,483.0,512.0,1613.0,549.0
214,483.0,511.0,1613.0,549.0
215,483.0,511.0,1613.0,549.0
216,483.0,511.0,1612.0,549.0
217,483.0,511.0,1613.0,548.0
218,483.0,511.0,1612.0,549.0
219,483.0,511.0,1612.0,549.0
220,483.0,511.0,1612.0,548.0
221,483.0,511.0,1612.0,548.0
222,483.0,511.0,1612.0,548.0
223,483.0,511.0,1612.0,548.0
224,482.0,511.0,1612.0,548.0
225,482.0,511.0,1612.0,548.0
226,482.0,511.0,1613.0,548.0
227,482.0,511.0,1613.0,548.0
228,482.0,512.0,1613.0,548.0
229,482.0,512.0,1613.0,548.0
230,482.0,512.0,1613.0,548.0
231,482.0,512.0,1613.0,548.0
232,482.0,512.0,1613.0,548.0
233,482.0,512.0,1613.0,548.0
234,482.0,512.0,1613.0,548.0
235,482.0,512.0,1613.0,548.0
236,482.0,512.0,1613.0,548.0
237,482.0,512.0,1613.0,548.0
238,482.0,512.0,1613.0,548.0
239,482.0,512.0,1613.0,547.0
240,482.0,512.0,1613.0,548.0
241,482.0,512.0,1613.0,548.0
242,482.0,512.0,1613.0,548.0
243,482.0,512.0,1613.0,548.0
244,482.0,512.0,1613.0,548.0
245,483.0,512.0,1613.0,548.0
246,483.0,512.0,1613.0,548.0
247,483.0,512.0,1613.0,548.0
248,483.0,512.0,1613.0,548.0
249,483.0,512.0,1613.0,548.0
250,483.0,512.0,1613.0,548.0
251,483.0,512.0,1613.0,548.0
252,483.0,512.0,1613.0,548.0
253,483.0,512.0,1613.0,547.0
254,483.0,512.0,1613.0,547.0
255,483.0,512.0,1613.0,547.0
256,483.0,512.0,1613.0,547.0
257,482.0,512.0,1613.0,546.0
258,482.0,512.0,1613.0,545.0
259,482.0,512.0,1613.0,545.0
260,482.0,512.0,1613.0,545.0
261,483.0,512.0,1613.0,545.0
262,483.0,512.0,1613.0,545.0
263,483.0,512.0,1613.0,545.0
264,483.0,511.0,1613.0,545.0
265,482.0,511.0,1613.0,545.0
266,483.0,512.0,1613.0,545.0
267,483.0,511.0,1613.0,539.0
268,483.0,511.0,1613.0,540.0
269,483.0,511.0,1612.0,539.0
270,483.0,510.0,1611.0,545.0
271,483.0,510.0,1613.0,549.0
272,483.0,510.0,1611.0,548.0
273,483.0,510.0,1610.0,548.0
274,483.0,510.0,1606.0,541.0
275,483.0,510.0,1647.0,544.0
276,483.0,510.0,1643.0,545.0
277,483.0,510.0,1641.0,545.0
278,483.0,510.0,1639.0,543.0
279,483.0,510.0,1633.0,532.0
280,483.0,510.0,1626.0,531.0
281,483.0,511.0,1624.0,526.0
282,483.0,511.0,1621.0,497.0
283,484.0,511.0,1616.0,456.0
284,484.0,511.0,1621.0,411.0
285,483.0,511.0,1639.0,372.0
286,483.0,511.0,1664.0,320.0
287,483.0,511.0,1698.0,271.0
288,483.0,511.0,1707.0,230.0
289,483.0,511.0,1705.0,206.0
290,483.0,511.0,1719.0,214.0
291,483.0,512.0,1724.0,255.0
292,483.0,512.0,1726.0,282.0
293,483.0,512.0,1742.0,301.0
294,483.0,511.0,1741.0,364.0
295,483.0,511.0,1733.0,323.0
296,483.0,512.0,1719.0,292.0
297,482.0,512.0,1725.0,236.0
298,482.0,512.0,1732.0,221.0
299,482.0,512.0,1755.0,200.0
300,482.0,512.0,1786.0,178.0
301,482.0,512.0,1838.0,147.0
302,482.0,512.0,,
303,482.0,512.0,,
304,482.0,512.0,,
305,482.0,512.0,,
306,483.0,512.0,,
307,484.0,511.0,,
308,483.0,511.0,,
309,483.0,511.0,,
310,483.0,511.0,,
311,483.0,511.0,,
312,483.0,511.0,,
313,483.0,511.0,,
314,483.0,511.0,,
315,483.0,510.0,,
316,483.0,510.0,,
317,483.0,510.0,,
318,484.0,511.0,,
319,484.0,511.0,,
320,484.0,511.0,,
321,483.0,512.0,,
322,483.0,512.0,,
323,483.0,512.0,,
324,483.0,512.0,,
325,483.0,512.0,,
